Uniswap V3 Auto Calculator;;;комментарии
Current price (ETH);1616;;вручную
;;;
Lower bound (USDC);1550;;вручную
Upper bound (USDC);2200;;вручную
;;;
Total Pool Value (USDC);10000;;вручную
;;;
Liquidity (L);1520,743742;;B5/(((1/КОРЕНЬ(B2)-1/КОРЕНЬ(B4))*B2)+(КОРЕНЬ(B2)-КОРЕНЬ(B3)))
Amount 1 (ETH);5,407548985;;B7*(1/КОРЕНЬ(B2) - 1/КОРЕНЬ(B4))
Amount 2 (USDC);1261,400841;;B7*(КОРЕНЬ(B2) - КОРЕНЬ(B3))
;;;
достигли верхней границы;;;
цена;2200;;B4
Amount 1 (ETH);0;;0
Amount 2 (USDC);11457,46315;;(КОРЕНЬ(B4)-КОРЕНЬ(B2))*B7+B9
;;;
достигли нижней границы;;;
цена;1550;;B3
Amount 1 (ETH);6,221355979;;(КОРЕНЬ(B2)-КОРЕНЬ(B3))*B7/B3+B8
Amount 2 (USDC);0;;0
